Target Distance: 50, Step Size: 2
0: (x,y) = (1.53209, 1.28558)
1: (x,y) = (3.22819, 2.34541)
2: (x,y) = (1.28759, 1.86157)
3: (x,y) = (3.05349, 2.80051)
4: (x,y) = (2.53585, 0.868661)
5: (x,y) = (4.52824, 0.69435)
6: (x,y) = (2.93097, 1.89798)
7: (x,y) = (4.24309, 3.4074)
8: (x,y) = (5.41866, 5.02543)
9: (x,y) = (6.38828, 3.27619)
10: (x,y) = (4.69218, 4.33603)
11: (x,y) = (4.41383, 6.31657)
12: (x,y) = (2.81656, 5.11294)
13: (x,y) = (4.62918, 5.95817)
14: (x,y) = (6.04339, 4.54396)
15: (x,y) = (6.00849, 2.54427)
16: (x,y) = (7.26713, 0.989974)
17: (x,y) = (8.04859, -0.851036)
18: (x,y) = (9.93963, -0.199899)
19: (x,y) = (11.058, -1.85797)
20: (x,y) = (10.2128, -3.67059)
21: (x,y) = (10.0037, -5.65963)
22: (x,y) = (10.2821, -7.64017)
23: (x,y) = (12.1092, -8.45364)
24: (x,y) = (11.0791, -10.168)
25: (x,y) = (12.9462, -9.45124)
26: (x,y) = (10.9657, -9.1729)
27: (x,y) = (12.604, -8.02574)
28: (x,y) = (11.0067, -6.82211)
29: (x,y) = (9.03136, -7.13498)
30: (x,y) = (8.68407, -9.1046)
31: (x,y) = (7.77609, -7.32258)
32: (x,y) = (8.55755, -5.48157)
33: (x,y) = (6.88021, -4.3923)
34: (x,y) = (6.81041, -6.39108)
35: (x,y) = (6.15927, -4.50004)
36: (x,y) = (7.47139, -6.00946)
37: (x,y) = (8.2206, -7.86383)
38: (x,y) = (7.16076, -9.55992)
39: (x,y) = (7.8119, -11.451)
40: (x,y) = (8.98747, -9.83293)
41: (x,y) = (9.53875, -11.7555)
42: (x,y) = (10.9027, -13.2182)
43: (x,y) = (8.91765, -12.9744)
44: (x,y) = (8.53603, -11.0112)
45: (x,y) = (8.91765, -9.04791)
46: (x,y) = (7.43136, -10.3862)
47: (x,y) = (9.22895, -9.50943)
48: (x,y) = (9.33362, -11.5067)
49: (x,y) = (9.81746, -9.5661)
50: (x,y) = (9.71279, -11.5634)
51: (x,y) = (11.6979, -11.8071)
52: (x,y) = (10.5507, -10.1688)
53: (x,y) = (10.307, -12.1539)
54: (x,y) = (11.3371, -13.8682)
55: (x,y) = (11.6499, -15.8436)
56: (x,y) = (13.308, -14.7252)
57: (x,y) = (12.8922, -16.6815)
58: (x,y) = (12.047, -18.4941)
59: (x,y) = (13.9695, -17.9428)
60: (x,y) = (13.4518, -19.8747)
61: (x,y) = (15.3312, -20.5587)
62: (x,y) = (14.3923, -22.3246)
63: (x,y) = (14.9436, -24.2472)
64: (x,y) = (13.0414, -23.6291)
65: (x,y) = (14.7558, -22.599)
66: (x,y) = (12.7862, -22.2517)
67: (x,y) = (11.4222, -20.789)
68: (x,y) = (11.3524, -18.7903)
69: (x,y) = (11.9371, -20.7029)
70: (x,y) = (11.2204, -22.57)
71: (x,y) = (10.7705, -20.6213)
72: (x,y) = (12.1345, -22.084)
73: (x,y) = (10.7452, -20.6453)
74: (x,y) = (9.93168, -22.4724)
75: (x,y) = (11.1903, -20.9181)
76: (x,y) = (12.3087, -22.5762)
77: (x,y) = (10.3769, -22.0586)
78: (x,y) = (11.9089, -23.3441)
79: (x,y) = (12.7857, -21.5465)
80: (x,y) = (11.1474, -20.3994)
81: (x,y) = (12.4856, -21.8857)
82: (x,y) = (13.1697, -20.0063)
83: (x,y) = (13.517, -18.0367)
84: (x,y) = (12.8658, -19.9277)
85: (x,y) = (13.7738, -18.1457)
86: (x,y) = (15.7434, -18.493)
87: (x,y) = (17.6456, -17.875)
88: (x,y) = (15.9495, -18.9348)
89: (x,y) = (14.3522, -20.1384)
90: (x,y) = (16.3373, -20.3822)
91: (x,y) = (15.0786, -18.8279)
92: (x,y) = (13.9315, -17.1896)
93: (x,y) = (13.0235, -15.4076)
94: (x,y) = (13.4393, -17.3639)
95: (x,y) = (13.3347, -19.3611)
96: (x,y) = (13.8185, -21.3017)
97: (x,y) = (11.8197, -21.2319)
98: (x,y) = (10.6726, -19.5936)
99: (x,y) = (12.6422, -19.9409)
100: (x,y) = (12.0241, -21.843)
101: (x,y) = (11.1162, -20.061)
102: (x,y) = (12.5789, -18.697)
103: (x,y) = (11.2406, -20.1833)
104: (x,y) = (11.1708, -22.1821)
105: (x,y) = (13.0252, -21.4329)
106: (x,y) = (11.1458, -22.1169)
107: (x,y) = (13.0252, -22.8009)
108: (x,y) = (14.1723, -24.4392)
