Target Distance: 50, Step Size: 2
0: (x,y) = (1.61803, 1.17557)
1: (x,y) = (2.16931, -0.746953)
2: (x,y) = (3.45488, -2.27904)
3: (x,y) = (5.33427, -2.96308)
4: (x,y) = (5.91901, -4.87569)
5: (x,y) = (7.00829, -3.19835)
6: (x,y) = (8.89933, -3.84949)
7: (x,y) = (10.8689, -4.19678)
8: (x,y) = (12.565, -5.25662)
9: (x,y) = (11.5052, -3.56053)
10: (x,y) = (12.1892, -5.43991)
11: (x,y) = (12.5365, -3.4703)
12: (x,y) = (13.5365, -1.73824)
13: (x,y) = (13.5365, -3.73824)
14: (x,y) = (15.1338, -2.53461)
15: (x,y) = (15.979, -4.34723)
16: (x,y) = (14.5648, -2.93302)
17: (x,y) = (16.5539, -2.72396)
18: (x,y) = (18.2312, -1.63468)
19: (x,y) = (16.6991, -0.349106)
20: (x,y) = (18.1618, -1.7131)
21: (x,y) = (19.1008, 0.0527924)
22: (x,y) = (19.5507, 2.00153)
23: (x,y) = (20.4587, 0.219519)
24: (x,y) = (21.8729, 1.63373)
25: (x,y) = (19.9603, 2.21848)
26: (x,y) = (20.3761, 4.17477)
27: (x,y) = (20.5504, 6.16716)
28: (x,y) = (18.5653, 5.92342)
29: (x,y) = (16.7109, 6.67264)
30: (x,y) = (18.6515, 6.18879)
31: (x,y) = (20.1142, 4.82479)
32: (x,y) = (20.7654, 2.93376)
33: (x,y) = (19.8264, 4.69965)
34: (x,y) = (17.8946, 4.18201)
35: (x,y) = (19.8433, 3.73211)
36: (x,y) = (20.9905, 2.09381)
37: (x,y) = (19.9604, 3.80814)
38: (x,y) = (21.9091, 4.25805)
39: (x,y) = (21.4253, 6.19864)
40: (x,y) = (20.194, 4.62262)
41: (x,y) = (22.0211, 5.43609)
42: (x,y) = (20.5348, 6.77435)
43: (x,y) = (22.3007, 7.71329)
44: (x,y) = (23.7393, 6.32398)
45: (x,y) = (22.1851, 5.06534)
46: (x,y) = (23.8812, 4.0055)
47: (x,y) = (25.2194, 2.51921)
48: (x,y) = (26.8775, 1.40082)
49: (x,y) = (27.9076, 3.11516)
50: (x,y) = (29.5849, 2.02588)
51: (x,y) = (31.243, 0.907492)
52: (x,y) = (30.8614, 2.87075)
53: (x,y) = (28.886, 2.55788)
54: (x,y) = (28.5044, 0.594623)
55: (x,y) = (30.4065, 1.21266)
56: (x,y) = (30.6502, 3.19775)
57: (x,y) = (28.653, 3.30242)
58: (x,y) = (28.0018, 1.41138)
59: (x,y) = (29.2331, -0.164637)
60: (x,y) = (27.3921, -0.946099)
61: (x,y) = (25.4225, -0.598803)
62: (x,y) = (23.6249, -1.47555)
63: (x,y) = (22.5065, 0.18253)
64: (x,y) = (23.5958, 1.85987)
65: (x,y) = (22.7824, 0.03278)
66: (x,y) = (24.041, -1.52151)
67: (x,y) = (25.4552, -0.107298)
68: (x,y) = (27.4039, 0.342604)
69: (x,y) = (29.3736, -0.00469259)
70: (x,y) = (28.6243, -1.85906)
71: (x,y) = (26.6247, -1.89397)
72: (x,y) = (26.7642, -3.88909)
73: (x,y) = (28.2736, -2.57698)
74: (x,y) = (26.6353, -1.42982)
75: (x,y) = (28.6107, -1.74269)
76: (x,y) = (26.8286, -2.65067)
77: (x,y) = (27.5127, -4.53006)
78: (x,y) = (29.469, -4.94588)
79: (x,y) = (28.4389, -6.66022)
80: (x,y) = (29.469, -8.37455)
81: (x,y) = (31.4322, -8.75617)
82: (x,y) = (30.6188, -10.5833)
83: (x,y) = (32.5675, -10.1334)
84: (x,y) = (30.5751, -10.3077)
85: (x,y) = (32.5602, -10.0639)
86: (x,y) = (32.63, -12.0627)
87: (x,y) = (33.9683, -13.549)
88: (x,y) = (34.1773, -15.538)
89: (x,y) = (34.003, -17.5304)
90: (x,y) = (32.1904, -18.3757)
91: (x,y) = (32.3299, -16.3805)
92: (x,y) = (32.8138, -18.3211)
93: (x,y) = (32.5354, -20.3017)
94: (x,y) = (31.3883, -21.94)
95: (x,y) = (32.6196, -20.364)
96: (x,y) = (34.1739, -19.1053)
97: (x,y) = (32.5766, -20.3089)
98: (x,y) = (32.8895, -18.3336)
99: (x,y) = (34.0931, -19.9308)
100: (x,y) = (32.6068, -18.5926)
101: (x,y) = (34.3389, -17.5926)
102: (x,y) = (34.7547, -19.5489)
103: (x,y) = (33.8157, -17.783)
104: (x,y) = (34.9913, -19.401)
105: (x,y) = (33.5771, -20.8152)
106: (x,y) = (35.5258, -20.3653)
107: (x,y) = (35.6653, -22.3604)
108: (x,y) = (35.7003, -20.3608)
109: (x,y) = (34.3881, -18.8513)
110: (x,y) = (33.8369, -16.9288)
111: (x,y) = (35.3463, -15.6167)
112: (x,y) = (33.8369, -16.9288)
113: (x,y) = (35.2511, -15.5146)
114: (x,y) = (33.262, -15.7237)
115: (x,y) = (32.8462, -13.7674)
116: (x,y) = (30.8572, -13.5583)
